,AN,NO_SEQ_COLL,DT_ACCDN,HR_ACCDN,JR_SEMN_ACCDN,gravite,NB_MORTS,NB_BLESSES_GRAVES,NB_BLESSES_LEGERS,NB_VICTIMES_TOTAL,NB_VEH_IMPLIQUES_ACCDN,NB_DECES_PIETON,NB_BLESSES_PIETON,NB_VICTIMES_PIETON,NB_DECES_MOTO,NB_BLESSES_MOTO,NB_VICTIMES_MOTO,NB_DECES_VELO,NB_BLESSES_VELO,NB_VICTIMES_VELO,CD_MUNCP,REG_ADM,MRC,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,NO_ROUTE,CD_PNT_CDRNL_ROUTE,BORNE_KM_ACCDN,NB_METRE_DIST_ACCD,CD_PNT_CDRNL_REPRR,VITESSE_AUTOR,CD_GENRE_ACCDN,CD_SIT_PRTCE_ACCDN,CD_ETAT_SURFC,CD_ECLRM,CD_ENVRN_ACCDN,CD_CATEG_ROUTE,CD_ETAT_CHASS,CD_ASPCT_ROUTE,CD_LOCLN_ACCDN,CD_POSI_ACCDN,CD_CONFG_ROUTE,CD_ZON_TRAVX_ROUTR,CD_COND_METEO,nb_automobile_camion_leger,nb_camionLourd_tractRoutier,nb_outil_equipement,nb_tous_autobus_minibus,nb_bicyclette,nb_cyclomoteur,nb_motocyclette,nb_taxi,nb_urgence,nb_motoneige,nb_VHR,nb_autres_types,nb_veh_non_precise,latitude,longitude
9,2012,2012 _ 10,2012-10-01,06:00:00-06:59:00,LU,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,66023,Montréal(06),Montréal (66 ),,,46E AV N,2.0,FACE AU 1111 96E AV N,,,,,N,,31.0,,12.0,1.0,4.0,23.0,,13.0,99.0,,4.0,,12.0,0,2,0,0,0,0,0,0,0,0,0,0,0,45.6661567,-73.4992399
36,2012,2012 _ 37,2012-10-05,09:00:00-09:59:00,VE,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81017,Outaouais(07),Gatineau (81 ),,,PONT CHAUDIERE,2.0,FACE A LA CENTRALE HYDRO QUEBEC,,,,5.0,S,50.0,47.0,,12.0,1.0,3.0,19.0,,11.0,37.0,,1.0,,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.422124,-75.7189001
94,2012,2012 _ 95,2012-03-17,17:00:00-17:59:00,SA,Léger,0,0,1,1,1,0,1,1,0,0,0,0,0,0,66023,Montréal(06),Montréal (66 ),,,BD PIERREFONDS,1.0,STE ANNE,,,,,,50.0,32.0,,11.0,1.0,2.0,14.0,1.0,11.0,32.0,6.0,3.0,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.510345,-73.8041773
103,2012,2012 _ 104,2012-03-26,07:00:00-07:59:00,LU,Léger,0,0,1,1,1,0,1,1,0,0,0,0,0,0,66023,Montréal(06),Montréal (66 ),,,PIERREFONDS ET ESTHER BLONDIN,,,,,,,,50.0,32.0,,11.0,1.0,2.0,13.0,1.0,11.0,32.0,6.0,3.0,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.485235,-73.857917
110,2012,2012 _ 111,2012-04-05,19:00:00-19:59:00,JE,Léger,0,0,1,1,2,0,0,0,0,0,0,0,0,0,66023,Montréal(06),Montréal (66 ),,,RENE EMARD ET ANSELME LAVIGNE,1.0,,,,,,,50.0,31.0,1.0,11.0,3.0,1.0,14.0,1.0,11.0,32.0,6.0,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,45.489435,-73.846483
126,2012,2012 _ 127,2012-04-21,01:00:00-01:59:00,SA,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66023,Montréal(06),Montréal (66 ),,,CHEVREMONT,1.0,DE L EGLISE,,,,,,50.0,54.0,,11.0,3.0,2.0,14.0,,13.0,32.0,,2.0,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.4925813,-73.87925
128,2012,2012 _ 129,2012-04-21,Non précisé,SA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,66023,Montréal(06),Montréal (66 ),13.0,,3E AV N ROXBORO,,,,,,,,,31.0,,11.0,3.0,2.0,14.0,,11.0,99.0,,2.0,,12.0,1,0,0,0,0,0,0,0,0,0,0,0,1,45.5528341,-73.5916149
151,2012,2012 _ 152,2012-05-23,07:00:00-07:59:00,ME,Léger,0,0,1,1,3,0,0,0,0,0,0,0,0,0,66023,Montréal(06),Montréal (66 ),,,PONT JACQUES BIZARD,1.0,BD GOUIN O,,,,150.0,S,50.0,,,11.0,1.0,9.0,19.0,1.0,11.0,36.0,6.0,4.0,,11.0,3,0,0,0,0,0,0,0,0,0,0,0,0,45.48757965,-73.8680261022895
169,2012,2012 _ 170,2012-06-06,09:00:00-09:59:00,ME,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,66023,Montréal(06),Montréal (66 ),4886.0,,ST CHARLES,2.0,STAT,,,,,,,31.0,,11.0,1.0,3.0,21.0,,11.0,,,,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,1,45.43831865,-73.72907585703082
174,2012,2012 _ 175,2012-06-08,17:00:00-17:59:00,VE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,66023,Montréal(06),Montréal (66 ),,,BD JACQUES BIZARD,1.0,BD GOUIN O,,,,50.0,S,50.0,31.0,,11.0,1.0,3.0,13.0,,11.0,33.0,,5.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,45.4817762,-73.8619258
